Round, Max Amount, Rolls Played
1, 1434, 3348,
2, 505, 1710,
3, 4452, 98508,
4, 596, 712,
5, 1655, 11527,
6, 575, 1295,
7, 505, 1027,
8, 1003, 5308,
9, 974, 2675,
10, 654, 1209,
11, 1125, 7691,
12, 553, 1631,
13, 3010, 50928,
14, 761, 3290,
15, 1082, 11362,
16, 500, 2612,
17, 903, 4401,
18, 996, 4114,
19, 1995, 28345,
20, 1823, 14551,
21, 1253, 5703,
22, 4225, 102190,
23, 796, 3054,
24, 2284, 45037,
25, 873, 6959,
26, 509, 1022,
27, 681, 3477,
28, 528, 1027,
29, 607, 3079,
30, 735, 2740,
31, 1184, 6009,
32, 515, 585,
33, 513, 1119,
34, 1618, 13530,
35, 642, 1449,
36, 712, 1757,
37, 500, 788,
38, 1097, 3295,
39, 844, 2495,
40, 4009, 31367,
41, 537, 1225,
42, 530, 348,
43, 540, 568,
44, 1542, 6819,
45, 4160, 129982,
46, 1775, 34717,
47, 1337, 9239,
48, 707, 4509,
49, 541, 762,
50, 500, 717,
51, 2224, 19714,
52, 2654, 67602,
53, 4577, 131654,
54, 582, 2626,
55, 3484, 117027,
56, 704, 2958,
57, 1662, 16738,
58, 697, 3112,
59, 939, 3493,
60, 956, 3877,
61, 718, 1698,
62, 1381, 22791,
63, 3634, 84144,
64, 537, 969,
65, 597, 1622,
66, 566, 553,
67, 582, 608,
68, 801, 3827,
69, 500, 458,
70, 583, 963,
71, 662, 582,
72, 2498, 21350,
73, 510, 1260,
74, 3956, 94682,
75, 2521, 85631,
76, 1010, 6765,
77, 1291, 8728,
78, 1020, 3316,
79, 1496, 26673,
80, 1520, 19457,
81, 778, 2434,
82, 1001, 6907,
83, 2492, 71394,
84, 767, 3620,
85, 1451, 16917,
86, 1330, 6884,
87, 1079, 9109,
88, 857, 3354,
89, 1426, 11973,
90, 2709, 19779,
91, 758, 1930,
92, 533, 841,
93, 1314, 10446,
94, 1341, 11211,
95, 1255, 4314,
96, 5312, 155282,
97, 880, 3620,
98, 573, 536,
99, 845, 5379,
100, 500, 588,
101, 559, 1826,
102, 904, 5416,
103, 750, 2217,
104, 1658, 10202,
105, 1081, 11257,
106, 593, 1495,
107, 771, 1656,
108, 791, 1661,
109, 633, 2266,
110, 880, 2481,
111, 961, 7052,
112, 1146, 5837,
113, 554, 732,
114, 717, 4044,
115, 582, 601,
116, 803, 1737,
117, 706, 6177,
118, 770, 4648,
119, 726, 3015,
120, 1097, 11990,
121, 777, 1568,
122, 500, 945,
123, 1018, 5463,
124, 505, 448,
125, 677, 1442,
126, 588, 1349,
127, 558, 1584,
128, 3138, 61536,
129, 812, 2234,
130, 535, 1117,
131, 500, 526,
132, 4095, 114154,
133, 513, 736,
134, 552, 2384,
135, 4498, 74966,
136, 2123, 13485,
137, 1110, 12742,
138, 5032, 102898,
139, 1769, 16877,
140, 4416, 118236,
141, 1631, 30841,
142, 871, 3088,
143, 581, 1540,
144, 1512, 25927,
145, 2406, 14629,
146, 839, 6479,
147, 1611, 15012,
148, 1269, 8685,
149, 1439, 5428,
150, 1046, 6165,
151, 1856, 11522,
152, 824, 6600,
153, 535, 922,
154, 992, 2301,
155, 1495, 10179,
156, 526, 553,
157, 728, 4103,
158, 702, 1383,
159, 881, 2370,
160, 928, 3306,
161, 552, 331,
162, 1418, 6171,
163, 782, 3521,
164, 606, 1927,
165, 561, 560,
166, 1105, 7506,
167, 1508, 8690,
168, 511, 688,
169, 865, 2004,
170, 500, 790,
171, 2347, 28422,
172, 544, 966,
173, 1600, 9248,
174, 1111, 8618,
175, 1098, 7590,
176, 693, 2906,
177, 580, 1934,
178, 1071, 5257,
179, 987, 4393,
180, 1719, 9379,
181, 3000, 62804,
182, 1211, 9078,
183, 855, 3078,
184, 618, 2106,
185, 507, 2889,
186, 821, 2464,
187, 728, 1336,
188, 636, 976,
189, 599, 2201,
190, 575, 1072,
191, 1079, 3884,
192, 1067, 6252,
193, 847, 10229,
194, 610, 2084,
195, 573, 2090,
196, 500, 482,
197, 934, 2183,
198, 1431, 12083,
199, 553, 918,
200, 2433, 23023,
201, 741, 3103,
202, 505, 546,
203, 4013, 44254,
204, 2742, 32159,
205, 847, 3654,
206, 4178, 52061,
207, 1851, 35298,
208, 659, 1739,
